employee_id,skill_id,skill_level,skill_progress
72056,9,Beginner,67
72056,6,Intermediate,71
72056,16,Beginner,28
66988,18,Advanced,62
46128,11,Beginner,6
25453,11,Intermediate,95
25453,4,Advanced,14
56924,14,Intermediate,4
56924,20,Beginner,53
56924,5,Intermediate,60
63196,1,Beginner,70
63018,6,Advanced,1
68578,1,Advanced,41
78753,5,Beginner,47
78753,20,Beginner,83
78753,10,Intermediate,97
43493,17,Intermediate,20
43493,11,Beginner,61
90578,4,Advanced,23
90578,10,Advanced,87
90578,8,Advanced,83
79686,7,Advanced,0
79686,20,Advanced,68
79686,3,Advanced,73
55581,7,Beginner,61
55581,17,Advanced,38
55581,9,Intermediate,52
17103,18,Intermediate,67
22692,5,Intermediate,12
22692,14,Beginner,36
36899,10,Advanced,93
36899,2,Beginner,23
36899,5,Intermediate,59
3226,8,Beginner,14
27893,3,Beginner,82
27893,19,Beginner,43
49074,9,Beginner,92
49074,16,Intermediate,14
50399,17,Advanced,71
50399,13,Beginner,25
7334,17,Beginner,75
7334,20,Intermediate,29
37202,9,Advanced,10
86017,1,Intermediate,83
86017,17,Advanced,48
86017,5,Advanced,38
22581,19,Intermediate,3
19267,9,Beginner,36
19267,14,Beginner,62
75571,11,Intermediate,56
75571,18,Advanced,93
75571,4,Intermediate,96
8114,8,Intermediate,68
8114,12,Intermediate,42
8114,18,Intermediate,60
99805,4,Intermediate,11
99805,19,Beginner,50
60882,17,Intermediate,65
60882,11,Advanced,63
57729,11,Beginner,84
57729,20,Beginner,12
57729,19,Intermediate,68
54891,2,Intermediate,65
54891,12,Intermediate,71
87348,6,Advanced,3
59042,7,Advanced,27
70841,19,Intermediate,99
92422,15,Beginner,54
62956,6,Intermediate,53
96683,20,Advanced,28
94576,7,Intermediate,41
89821,17,Intermediate,19
1223,3,Advanced,24
29280,11,Advanced,82
29280,18,Advanced,84
29280,16,Advanced,10
99355,4,Beginner,45
60861,15,Intermediate,48
60861,13,Intermediate,51
60861,12,Intermediate,0
3614,5,Advanced,21
3614,1,Advanced,30
53020,7,Advanced,34
4754,6,Beginner,4
4754,4,Intermediate,11
4754,19,Beginner,58
11475,9,Beginner,71
11475,5,Beginner,21
19348,2,Advanced,72
19348,4,Advanced,31
79981,6,Beginner,59
79981,2,Intermediate,21
79981,3,Beginner,92
20665,6,Intermediate,21
20665,17,Intermediate,12
20665,14,Advanced,12
99608,7,Intermediate,38
99608,9,Advanced,25
20600,16,Advanced,83
20600,7,Advanced,90
68980,20,Intermediate,17
68980,18,Beginner,50
16684,14,Advanced,71
16684,9,Advanced,93
16684,15,Beginner,14
25551,19,Intermediate,70
27916,14,Intermediate,16
27916,8,Advanced,99
83342,6,Intermediate,87
16009,11,Beginner,12
30214,1,Beginner,97
11449,8,Intermediate,0
11449,19,Beginner,4
11449,10,Advanced,38
47159,16,Advanced,3
98986,16,Advanced,13
85647,20,Intermediate,6
85647,1,Advanced,28
56607,11,Beginner,29
83197,17,Beginner,52
24978,10,Intermediate,98
24978,5,Intermediate,6
24978,17,Beginner,28
82259,2,Beginner,84
82259,10,Beginner,52
1697,3,Intermediate,98
1414,6,Beginner,88
1414,8,Advanced,1
1414,16,Intermediate,48
66219,2,Intermediate,35
66219,9,Beginner,64
66219,19,Intermediate,3
64473,17,Intermediate,61
64473,7,Intermediate,91
64473,6,Advanced,32
78904,2,Beginner,27
19354,2,Advanced,55
19354,17,Intermediate,57
19354,15,Beginner,92
54099,2,Intermediate,44
54099,3,Intermediate,71
54099,20,Beginner,54
35059,10,Beginner,71
35059,1,Advanced,75
47001,20,Intermediate,99
47001,15,Advanced,70
38417,5,Beginner,37
38417,4,Beginner,85
93959,10,Intermediate,73
93959,20,Beginner,44
65579,12,Intermediate,92
65579,7,Intermediate,33
65579,9,Beginner,23
9901,10,Beginner,3
9901,16,Beginner,34
31163,16,Intermediate,96
31163,6,Beginner,2
31163,15,Advanced,56
56864,12,Beginner,85
26932,10,Advanced,27
88535,10,Advanced,26
88535,12,Beginner,30
88535,14,Beginner,88
31109,6,Advanced,29
31109,3,Beginner,14
9955,3,Beginner,35
9955,18,Advanced,56
9955,11,Intermediate,41
93938,3,Advanced,76
93938,5,Intermediate,58
17012,5,Advanced,63
17012,19,Beginner,47
17012,20,Beginner,41
24722,9,Beginner,64
11586,11,Beginner,14
11586,13,Beginner,43
11586,3,Intermediate,24
83958,11,Advanced,7
83958,9,Advanced,91
3718,8,Beginner,58
3718,19,Advanced,18
3718,1,Intermediate,36
7246,3,Intermediate,12
7246,16,Advanced,35
84066,18,Advanced,54
84066,15,Advanced,59
84066,4,Advanced,52
69274,6,Beginner,7
54101,14,Advanced,85
54101,3,Beginner,30
54101,6,Advanced,70
78469,19,Advanced,58
78469,11,Intermediate,49
78469,9,Beginner,10
77140,1,Advanced,69
69622,14,Intermediate,38
69622,18,Advanced,6
42889,19,Advanced,92
42889,18,Beginner,97
31565,16,Beginner,97
31565,14,Intermediate,91
31565,5,Intermediate,69
22687,13,Beginner,24
22687,12,Intermediate,64
45641,2,Intermediate,98
52341,11,Advanced,93
97027,9,Intermediate,77
97027,4,Intermediate,26
30052,11,Intermediate,36
30052,13,Beginner,32
51331,4,Advanced,27
43248,15,Intermediate,40
43248,4,Beginner,55
43248,11,Intermediate,14
2089,15,Advanced,34
2089,4,Advanced,97
2089,2,Intermediate,82
83100,15,Advanced,11
9617,6,Intermediate,42
9617,1,Advanced,75
9617,20,Intermediate,76
42614,19,Intermediate,72
42614,4,Advanced,19
3561,9,Intermediate,3
29380,14,Beginner,12
29380,20,Beginner,79
29380,6,Advanced,16
60982,7,Beginner,64
11196,13,Intermediate,88
11196,3,Beginner,23
11196,12,Beginner,68
29928,17,Intermediate,62
29928,6,Intermediate,0
87251,19,Intermediate,43
28923,3,Advanced,72
68116,16,Beginner,79
68116,1,Advanced,5
68116,20,Advanced,9
71898,12,Advanced,54
63313,12,Advanced,48
86904,9,Beginner,41
86904,11,Beginner,31
51177,4,Beginner,95
51177,11,Advanced,17
51177,16,Intermediate,90
37032,12,Intermediate,96
37032,19,Beginner,96
37032,2,Beginner,88
25239,6,Intermediate,46
25239,19,Advanced,44
25239,12,Intermediate,63
82860,7,Beginner,79
85272,5,Advanced,63
85272,11,Advanced,49
85272,4,Intermediate,70
4780,15,Intermediate,45
4780,8,Beginner,21
4780,11,Intermediate,99
90515,18,Intermediate,9
90515,5,Advanced,31
90515,20,Advanced,62
36748,10,Advanced,92
49344,8,Beginner,30
49344,4,Beginner,41
49344,9,Advanced,83
88861,12,Advanced,29
18089,6,Advanced,69
69540,7,Advanced,71
69540,18,Beginner,72
69540,15,Beginner,15
53461,19,Advanced,18
53461,9,Beginner,12
53461,13,Advanced,42
5326,1,Intermediate,25
5326,14,Advanced,50
5326,2,Intermediate,8
51051,5,Advanced,51
51051,9,Intermediate,24
51051,3,Intermediate,99
78160,14,Advanced,93
92921,18,Advanced,77
92921,13,Intermediate,55
92921,17,Beginner,82
14092,8,Beginner,34
14092,15,Intermediate,21
14092,4,Advanced,92
87090,12,Intermediate,75
87090,7,Beginner,50
4087,17,Beginner,67
4087,6,Beginner,44
63135,11,Advanced,87
63135,12,Advanced,2
63135,1,Intermediate,51
59058,19,Intermediate,44
59058,18,Intermediate,63
53165,10,Advanced,47
53165,9,Intermediate,73
36927,14,Advanced,18
88189,4,Beginner,95
88189,1,Intermediate,33
19362,13,Beginner,2
15688,9,Intermediate,75
15688,7,Intermediate,5
15688,2,Advanced,34
57854,13,Advanced,12
60508,12,Intermediate,66
60508,3,Intermediate,13
22282,16,Beginner,12
74659,11,Advanced,79
76476,16,Advanced,4
76476,3,Intermediate,38
87749,15,Beginner,31
87749,16,Beginner,18
7166,8,Intermediate,13
7166,2,Beginner,13
7166,19,Beginner,81
59094,17,Beginner,40
6340,9,Advanced,33
6340,13,Beginner,22
90033,14,Advanced,17
90033,19,Intermediate,74
90033,13,Beginner,44
22723,14,Intermediate,51
22723,20,Advanced,58
99452,12,Beginner,75
99452,20,Beginner,8
99452,16,Advanced,95
47088,18,Beginner,8
47088,5,Advanced,4
46070,20,Intermediate,70
46070,3,Advanced,84
44285,14,Beginner,72
23166,17,Advanced,36
23166,12,Beginner,75
82618,13,Intermediate,86
96841,6,Advanced,17
59850,16,Advanced,74
59850,20,Advanced,91
59850,19,Beginner,100
39244,11,Beginner,72
26353,16,Intermediate,79
26353,4,Beginner,80
92161,1,Intermediate,92
48975,18,Advanced,11
48975,13,Beginner,44
48975,11,Beginner,60
19897,5,Intermediate,18
19897,4,Advanced,31
19897,14,Advanced,21
13323,3,Intermediate,66
13323,10,Intermediate,46
13323,17,Advanced,30
57542,5,Beginner,73
57542,12,Intermediate,44
32322,8,Intermediate,5
23389,17,Advanced,52
23389,1,Beginner,72
22738,8,Advanced,26
22738,17,Advanced,68
22738,18,Advanced,30
41594,2,Beginner,82
41594,8,Advanced,68
41594,7,Advanced,23
87026,19,Intermediate,25
1348,5,Beginner,91
1348,12,Intermediate,45
1348,7,Beginner,28
43246,2,Advanced,33
19062,5,Advanced,60
19062,2,Intermediate,52
19062,6,Advanced,42
80622,5,Beginner,61
80622,6,Beginner,80
69685,6,Advanced,67
69685,8,Intermediate,52
69685,7,Beginner,48
82756,2,Intermediate,33
57123,20,Beginner,12
55798,14,Intermediate,73
55798,3,Intermediate,29
55798,12,Beginner,63
88831,1,Beginner,33
62102,8,Beginner,63
62102,6,Advanced,28
43505,15,Beginner,53
43505,12,Advanced,56
43505,14,Beginner,35
31397,17,Beginner,47
31397,15,Advanced,49
66367,2,Beginner,2
66367,4,Advanced,38
77651,11,Advanced,33
77651,4,Beginner,19
50224,18,Intermediate,95
50224,11,Beginner,68
94921,8,Advanced,46
94921,4,Intermediate,98
72976,6,Beginner,82
72976,12,Intermediate,2
94615,19,Intermediate,20
94615,2,Intermediate,86
94284,4,Beginner,9
98307,15,Advanced,71
98307,1,Advanced,58
15008,3,Beginner,20
15008,13,Beginner,97
15008,19,Advanced,19
70249,6,Beginner,9
70249,2,Beginner,78
70249,9,Advanced,15
85466,7,Intermediate,90
85466,4,Intermediate,80
34705,12,Advanced,56
34705,6,Intermediate,78
34705,4,Advanced,38
88002,11,Advanced,82
94726,19,Intermediate,14
94726,9,Beginner,83
94726,8,Advanced,65
62460,9,Advanced,43
62460,11,Advanced,89
62460,13,Advanced,66
71471,12,Advanced,35
71471,6,Advanced,57
71471,20,Advanced,23
33774,18,Advanced,82
33774,7,Beginner,8
33774,13,Advanced,67
12221,3,Intermediate,19
12221,10,Beginner,55
12221,17,Advanced,53
82138,10,Advanced,50
82138,5,Intermediate,97
79342,14,Intermediate,44
55711,9,Beginner,80
55711,18,Intermediate,54
55711,14,Advanced,74
42584,10,Intermediate,99
16806,14,Intermediate,28
7679,18,Beginner,50
7679,14,Intermediate,87
88751,19,Advanced,79
7273,6,Intermediate,77
7273,10,Advanced,5
23559,7,Beginner,62
23559,10,Beginner,31
70522,12,Advanced,39
50576,14,Intermediate,63
4986,4,Intermediate,33
4986,18,Beginner,16
4986,6,Advanced,12
35377,7,Intermediate,21
35377,19,Advanced,75
35377,14,Beginner,83
6363,10,Intermediate,98
6363,8,Beginner,84
6363,20,Intermediate,44
1021,13,Advanced,64
1021,15,Intermediate,51
36370,12,Intermediate,37
36370,9,Advanced,11
36370,3,Advanced,43
40787,3,Intermediate,7
40787,14,Intermediate,91
40787,8,Intermediate,26
4667,19,Beginner,31
4667,12,Advanced,49
44849,7,Intermediate,19
44849,13,Advanced,5
44849,10,Advanced,71
52296,3,Advanced,28
52296,1,Intermediate,18
15325,1,Advanced,62
15325,15,Intermediate,93
55033,6,Beginner,21
55033,8,Intermediate,49
55033,4,Intermediate,56
45979,13,Beginner,89
4526,4,Advanced,50
4526,19,Intermediate,32
4526,18,Advanced,94
79467,20,Intermediate,80
79467,8,Advanced,97
79467,4,Intermediate,50
85330,12,Advanced,2
40415,1,Intermediate,18
40415,12,Beginner,58
40415,2,Advanced,69
31938,5,Advanced,53
31938,13,Advanced,84
31938,7,Intermediate,11
5898,14,Beginner,42
5898,10,Beginner,51
5898,15,Intermediate,32
52063,9,Intermediate,41
52063,19,Intermediate,46
32617,7,Intermediate,22
32617,16,Intermediate,35
32617,12,Advanced,50
24064,10,Intermediate,47
75268,16,Beginner,30
75268,19,Beginner,83
75268,1,Beginner,72
49986,9,Advanced,50
49986,3,Beginner,31
49986,19,Advanced,65
7138,11,Beginner,79
7138,17,Intermediate,78
5257,12,Intermediate,31
5257,4,Advanced,13
78833,20,Advanced,36
78833,15,Advanced,91
78833,9,Beginner,0
14158,19,Beginner,63
14158,11,Beginner,87
14158,14,Beginner,13
21240,13,Advanced,13
55523,10,Beginner,0
63992,19,Advanced,80
63992,11,Beginner,77
33657,1,Advanced,82
33657,16,Intermediate,34
33657,17,Intermediate,58
38865,13,Intermediate,61
38865,19,Beginner,57
28824,14,Intermediate,12
28824,9,Intermediate,54
21151,1,Intermediate,64
21151,4,Beginner,79
82747,17,Advanced,3
82747,2,Beginner,33
15419,12,Advanced,28
15419,15,Intermediate,19
34867,8,Intermediate,43
34867,5,Beginner,23
94246,6,Advanced,98
94246,16,Intermediate,67
94246,2,Intermediate,3
36886,14,Intermediate,59
49549,5,Advanced,71
96681,11,Beginner,14
20203,11,Intermediate,74
20203,4,Beginner,88
20203,19,Advanced,63
76120,18,Advanced,63
53566,13,Advanced,13
27274,5,Advanced,82
27274,9,Advanced,85
41940,7,Beginner,81
41940,2,Intermediate,94
41940,20,Intermediate,88
42823,6,Intermediate,0
75530,3,Beginner,78
1955,19,Intermediate,14
1955,13,Intermediate,41
1955,2,Intermediate,67
84454,13,Beginner,97
84454,19,Intermediate,63
84454,17,Beginner,61
59164,19,Intermediate,54
59164,16,Intermediate,24
59164,5,Intermediate,22
7972,5,Intermediate,5
68933,7,Beginner,73
68933,1,Beginner,100
32930,5,Intermediate,66
32930,13,Intermediate,68
32930,19,Beginner,44
14053,14,Beginner,86
14053,12,Beginner,40
75773,6,Intermediate,86
75773,17,Beginner,47
75773,10,Advanced,68
55302,16,Advanced,96
55302,12,Advanced,32
41016,5,Advanced,48
41016,16,Intermediate,15
41016,4,Intermediate,39
34088,15,Intermediate,47
51109,13,Beginner,14
51109,17,Intermediate,40
51109,16,Beginner,4
27186,1,Intermediate,61
27186,11,Intermediate,85
62740,1,Intermediate,29
62740,15,Beginner,24
87720,1,Intermediate,61
87720,18,Advanced,46
87720,7,Intermediate,9
86453,2,Advanced,32
86453,12,Intermediate,39
86453,14,Intermediate,2
6298,14,Beginner,4
6298,17,Intermediate,91
6298,4,Intermediate,14
95941,16,Advanced,75
95941,8,Beginner,85
95941,13,Advanced,46
36978,17,Advanced,78
36978,9,Intermediate,56
36978,16,Intermediate,0
75504,4,Beginner,69
75504,6,Intermediate,52
56621,1,Intermediate,11
80364,6,Beginner,99
80364,12,Beginner,7
80364,4,Intermediate,36
68055,13,Intermediate,92
45249,1,Beginner,6
45249,18,Beginner,87
45249,16,Advanced,46
93134,11,Beginner,6
93134,14,Advanced,69
19012,7,Intermediate,52
34564,4,Advanced,15
12177,4,Advanced,58
12177,3,Beginner,1
58028,7,Intermediate,61
17383,7,Beginner,3
41432,3,Beginner,77
61508,6,Advanced,77
61508,8,Advanced,26
77465,12,Intermediate,67
86031,20,Beginner,89
15003,5,Intermediate,72
15003,12,Beginner,72
41322,9,Advanced,34
41322,14,Advanced,95
41322,15,Intermediate,66
70582,12,Intermediate,11
49376,18,Advanced,54
49376,19,Advanced,90
49376,2,Beginner,55
29786,11,Intermediate,7
29786,20,Beginner,27
29786,7,Advanced,62
8636,20,Advanced,16
8636,13,Intermediate,92
8636,4,Intermediate,62
43513,1,Advanced,58
43513,13,Intermediate,76
43513,15,Intermediate,35
27528,19,Intermediate,49
27528,7,Beginner,33
36846,4,Intermediate,81
36846,2,Intermediate,65
36846,12,Beginner,7
88781,20,Advanced,26
88781,11,Intermediate,58
88781,13,Advanced,57
18033,17,Beginner,62
18033,20,Intermediate,78
18033,8,Beginner,41
28316,12,Advanced,80
28316,6,Intermediate,1
28316,1,Advanced,14
47784,8,Intermediate,6
47784,1,Advanced,14
47784,2,Intermediate,9
22640,18,Advanced,94
81300,4,Advanced,24
81300,16,Intermediate,10
81300,13,Intermediate,80
36723,6,Advanced,70
36723,14,Intermediate,91
36723,5,Advanced,92
6310,10,Beginner,38
30508,17,Intermediate,80
30508,1,Intermediate,27
61374,7,Advanced,14
61374,8,Beginner,25
61374,16,Beginner,54
74868,19,Intermediate,84
74868,16,Intermediate,20
7324,11,Advanced,77
7324,19,Beginner,38
29468,20,Advanced,90
29468,15,Advanced,54
29468,5,Intermediate,91
32741,18,Intermediate,94
1074,9,Beginner,13
1074,14,Intermediate,25
68496,15,Beginner,97
68496,19,Advanced,50
73469,7,Beginner,71
73469,14,Beginner,98
11049,5,Intermediate,29
11049,9,Advanced,3
11049,4,Advanced,43
58876,2,Intermediate,46
58876,13,Advanced,11
95398,20,Advanced,36
95398,7,Advanced,23
7862,4,Advanced,30
66845,8,Beginner,17
74396,18,Intermediate,98
74396,13,Intermediate,41
92129,19,Intermediate,3
26846,7,Advanced,6
26846,4,Intermediate,39
26846,12,Intermediate,25
3677,1,Beginner,62
3677,9,Advanced,25
20232,19,Intermediate,51
20232,14,Beginner,67
85441,12,Beginner,8
85441,15,Beginner,53
85441,2,Intermediate,89
81288,17,Advanced,70
52677,17,Beginner,84
52677,15,Intermediate,77
52677,2,Beginner,55
11937,13,Advanced,41
11937,9,Beginner,72
19959,15,Beginner,93
19959,18,Advanced,84
19959,2,Intermediate,36
56783,20,Beginner,24
56783,7,Advanced,8
56783,8,Advanced,59
95513,10,Advanced,69
95513,12,Advanced,64
45660,7,Advanced,60
45660,12,Intermediate,96
45660,6,Advanced,87
27711,12,Beginner,77
27711,15,Intermediate,74
4798,11,Beginner,98
4798,5,Beginner,42
17452,6,Advanced,22
17452,3,Advanced,22
17452,18,Beginner,16
66123,15,Advanced,86
66123,11,Intermediate,70
66123,14,Beginner,49
66659,19,Beginner,5
66659,9,Beginner,87
30970,12,Advanced,88
30970,10,Advanced,24
95520,6,Advanced,73
8449,10,Advanced,98
8449,3,Beginner,61
88949,13,Beginner,7
79327,19,Advanced,53
93354,1,Intermediate,38
1351,5,Intermediate,35
1351,6,Beginner,39
41420,18,Beginner,62
93866,17,Intermediate,24
19838,8,Beginner,10
19838,20,Intermediate,7
58017,4,Advanced,31
58017,11,Intermediate,76
14775,10,Intermediate,22
14775,15,Beginner,60
14775,3,Intermediate,39
44916,4,Beginner,77
44916,14,Intermediate,96
9623,3,Beginner,55
9623,16,Beginner,69
9623,9,Intermediate,43
48678,4,Beginner,78
89079,4,Advanced,48
89079,12,Beginner,85
89079,2,Intermediate,55
30135,17,Beginner,13
30135,10,Beginner,67
30135,5,Advanced,97
58409,6,Beginner,83
58409,7,Advanced,100
70534,17,Beginner,56
70534,3,Intermediate,14
7333,10,Intermediate,54
7333,1,Advanced,48
54807,7,Advanced,4
54807,8,Beginner,84
88336,20,Intermediate,82
88336,2,Intermediate,31
88336,15,Intermediate,83
29997,7,Intermediate,29
29997,12,Intermediate,80
29997,20,Intermediate,92
79927,7,Advanced,15
59273,11,Intermediate,37
59273,6,Advanced,68
41984,11,Intermediate,96
41984,8,Beginner,12
52664,19,Beginner,75
94087,14,Advanced,87
94087,13,Advanced,45
89763,15,Intermediate,56
89763,10,Advanced,68
9009,5,Advanced,63
72960,20,Intermediate,86
30330,18,Advanced,60
30330,14,Beginner,92
30330,13,Intermediate,78
53096,14,Beginner,36
53096,7,Intermediate,32
33546,14,Beginner,65
74751,16,Advanced,78
30599,20,Intermediate,60
30599,6,Beginner,40
37583,7,Beginner,12
37583,4,Advanced,82
37583,14,Advanced,60
21668,7,Advanced,73
28907,3,Beginner,81
77616,16,Intermediate,68
31821,1,Intermediate,36
31821,17,Advanced,33
31821,12,Advanced,77
22471,6,Beginner,20
22471,7,Intermediate,53
22471,1,Intermediate,78
75662,3,Beginner,71
75662,11,Intermediate,79
75662,19,Beginner,86
88261,20,Advanced,66
88261,9,Beginner,95
88261,4,Advanced,96
36773,9,Beginner,75
36773,3,Advanced,95
36773,20,Intermediate,63
45498,10,Beginner,31
45498,8,Beginner,21
54731,19,Beginner,82
23815,12,Intermediate,19
23815,18,Intermediate,90
98386,3,Advanced,93
98386,6,Intermediate,60
94697,11,Advanced,75
27857,2,Advanced,42
26693,17,Advanced,52
80116,18,Intermediate,39
37148,3,Advanced,7
37148,16,Beginner,97
14588,5,Intermediate,16
77984,9,Intermediate,26
77984,16,Intermediate,50
77984,15,Beginner,91
19416,1,Intermediate,25
19416,18,Advanced,83
19416,13,Intermediate,77
85843,13,Intermediate,53
85843,12,Advanced,61
85843,9,Advanced,65
96225,19,Advanced,99
81055,4,Intermediate,43
47357,7,Advanced,25
47357,4,Advanced,73
73085,13,Beginner,100
50696,12,Advanced,39
50696,16,Advanced,36
50696,7,Advanced,12
16772,5,Beginner,64
58896,17,Intermediate,89
58896,3,Advanced,16
84120,2,Advanced,8
5810,1,Intermediate,47
5810,13,Intermediate,73
65304,1,Beginner,38
65304,20,Intermediate,18
65304,14,Beginner,14
21320,11,Beginner,99
21320,2,Advanced,96
29444,15,Beginner,66
29444,5,Beginner,79
29444,14,Advanced,10
82188,11,Beginner,93
99309,4,Intermediate,58
97306,19,Intermediate,94
97306,4,Beginner,26
97306,3,Advanced,2
52411,7,Intermediate,29
52411,3,Intermediate,76
7327,2,Advanced,13
46605,9,Advanced,51
74073,14,Advanced,11
74073,3,Intermediate,83
45354,4,Intermediate,89
45354,3,Intermediate,72
99130,20,Beginner,39
99130,10,Intermediate,2
16351,10,Advanced,88
16351,14,Intermediate,100
16351,18,Intermediate,6
30511,4,Beginner,11
30511,7,Intermediate,25
